Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
,male,36,would,I will be reincarnated,Proper diet,Sometimes,Family/Friends,bad,Do,1,did not,Married,Computer,Obedient,Immunity,Strict,More money,1,Optimistic,1,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Child/Children,Seldom,Seldom,Flying,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,30,,
,male,30,would,Nothing. Game over.,Exercise,,Exercise,bad,,1,did not,Married,Computer,,Intelligence,,Better job,10,,,Both about equally,,,I don't have a pet,,,,,,,,,,,,,,,,,have,,is not,is,Yes,Looks,23,,
,male,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona Catalu� Espa�,male,28,would not,Nothing. Game over.,Proper diet,Constantly,Family/Friends,bad,Do,2,did,Single,Computer,,Nothing,,Better romance,10,,1,Mom,would,Oldest,I don't have a pet,,Do,,Home,,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is,is,Yes,Nothing,,,
New York New York United States,male,21,would not,Nothing. Game over.,Exercise,At times,Music/Art,bad,Do,2,did not,Single,Computer,Obedient,Intelligence,Strict,Nothing,8,Optimistic,2,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,10,Alarm clock,Never,Seldom,Other,Would,Have not,Do not,have not,would,is,is not,Yes,Looks,0,,
Hannover Niedersachsen Deutschland,male,45,would not,Nothing. Game over.,Environment,Never,Family/Friends,good,Do,,did,Married,TV,Obedient,Nothing,,,1,,,,,,,Untrustworthy,Do,,Home,Safe,Do,Photo albums,,6,Alarm clock,Never,Seldom,Flying,Would not,Have not,Do,,,,,,,,,
,female,26,would not,I will go to heaven or hell,Exercise,Sometimes,Music/Art,bad,,2,did not,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco California United States,male,21,would not,My spirit will return home,Proper diet,At times,Alcohol/Drugs,good,,2,did not,Cohabitating,Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Giuliano Milanese Lombardy Italy,male,55,would not,My spirit will return home,Proper diet,Sometimes,Exercise,bad,Do,20,did not,Married,Computer,Obedient,Intelligence,Strict,More free time,20,Optimistic,20,Dad,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,60,Naturally,Never,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,No,Personality,33,,
San Francisco California United States,male,26,would not,I will go to heaven or hell,Exercise,Sometimes,Family/Friends,bad,Do not,1,did,Single,Computer,Obedient,Immunity,Strict,More free time,5,Optimistic,3,Mom,would,Youngest,Mom or Dad,Untrustworthy,Do not,More,Place of worship,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Falling,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Kendall Florida United States,male,34,would,My spirit will return home,Exercise,At times,Alcohol/Drugs,good,Do,4,did,Married,Computer,Obedient,Intelligence,Strict,Better job,0,Optimistic,1,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is,No,Intelligence,31,,
Los Angeles California United States,male,30,would,I will go to heaven or hell,Proper diet,At times,Prayer,bad,Do,1,did,Married,SmartPhone,Obedient,Nothing,Strict,Nothing,1,Optimistic,1,Dad,would not,Youngest,Playmate,Untrustworthy,Do,More,Place of worship,Safe,Do,Other,,6,Alarm clock,Often,Often,Being chased,Would not,Have not,Do not,have not,would,is not,is not,No,Sexual ability,28,,
Bangalore Karnataka India,male,26,would,Nothing. Game over.,Exercise,Constantly,Music/Art,bad,Do,1,did not,Single,SmartPhone,Obedient,Nothing,Strict,Better health,1,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,5,Alarm clock,Seldom,Seldom,Naked in public,Would,Have,Do not,have not,would,is not,is,Yes,Nothing,0,,
Manchester,male,38,would,Nothing. Game over.,Exercise,At times,Exercise,bad,Do not,1,did not,Married,Computer,Obedient,Intelligence,Strict,More free time,6,Optimistic,2,Both about equally,would not,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Electronics,Barack Obama,7,Family member,Seldom,Never,Other,Would,Have not,Do not,have,would not,is not,is,Yes,Nothing,30,,
El Puerto de Santa Mar�,male,39,would not,I will be reincarnated,Religion,Sometimes,Family/Friends,bad,Do,2,did,Married,SmartPhone,,Appearance,,Better romance,1,,1,Dad,would not,Youngest,Playmate,,Do,,Place of worship,,Do not,Other,Barack Obama,9,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do,have,would not,is not,is,Yes,Intelligence,32,,
,male,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotterdam South Holland The Netherlands,male,46,would not,Nothing. Game over.,Environment,At times,Exercise,good,Do,2,did,Married,Computer,Obedient,Immunity,Strict,More money,2,Optimistic,1,Neither,would not,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Family member,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,39,,
Raleigh North Carolina United States,male,19,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better romance,1,Optimistic,2,Dad,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Often,Other,Would,Have not,Do,have not,would,is not,is,Yes,Nothing,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Colorado United States,male,27,would,My spirit will return home,Exercise,At times,Alcohol/Drugs,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,3,Optimistic,1,Mom,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,9,Naturally,Often,Seldom,Other,Would,Have not,Do not,have not,would not,is not,is,Yes,Intelligence,0,,
,female,42,would,My spirit will return home,Proper diet,At times,Exercise,good,Do not,,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,8,Optimistic,1,Both about equally,would not,Youngest,Peer,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,No,Nothing,,,
Muskego Wisconsin United States,male,41,would,I will go to heaven or hell,Exercise,Sometimes,Exercise,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,More free time,2,Optimistic,2,Mom,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Money,Mitt Romney,6,Alarm clock,Often,Seldom,Being chased,Would,Have not,Do not,have not,would not,is not,is,Yes,Nothing,30,,
Perth Western Australia Australia,male,26,would,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do,3,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,3,Optimistic,0,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Being chased,Would,Have not,Do not,have,would,is not,is,No,Nothing,27,,
Bangkok  Thailand,male,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would not,is not,is,Yes,Nothing,0,,
??? ??? ??,male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,male,24,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,1,did,Cohabitating,Computer,,Intelligence,Strict,More free time,4,Optimistic,1,Dad,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have,Do not,have not,would,is not,is,Yes,Nothing,,,
Leesburg Virginia United States,male,39,would,My spirit will return home,Genes,At times,Alcohol/Drugs,good,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,More money,12,Optimistic,2,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,9,Family member,Never,Often,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,25,,
,female,55,would not,I will go to heaven or hell,Proper diet,Sometimes,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,Better job,2,Optimistic,2,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Mitt Romney,5,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,25,,
Bangalore Karnataka India,male,27,would not,Nothing. Game over.,Exercise,At times,Family/Friends,good,,3,did,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,23,would,Nothing. Game over.,Proper diet,At times,Family/Friends,bad,Do,3,did not,Single,SmartPhone,Obedient,Immunity,Strict,Better romance,10,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Jewelry,,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is,is not,Yes,All of the above,,,
Finland,male,29,,Nothing. Game over.,Exercise,At times,Family/Friends,good,Do,2,did,Married,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,8,Family member,Never,Seldom,Being chased,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,27,,
,male,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,male,49,would,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do not,3,did not,Married,SmartPhone,Obedient,Intelligence,Strict,Better health,1,Optimistic,3,Neither,would,Middle,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Money,Mitt Romney,6,Naturally,Seldom,Often,Other,Would,Have not,Do,have,would not,is not,is,Yes,Nothing,35,,
,male,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Arbor,female,42,would not,I will be reincarnated,Proper diet,Sometimes,Work,good,Do,1,did,Single,SmartPhone,Obedient,Nothing,Strict,More free time,13,Optimistic,1,Both about equally,would,Oldest,Peer,Untrustworthy,Do,More,I don't feel safe,Safe,Do not,Electronics,Barack Obama,6,Naturally,Seldom,Seldom,Being chased,Would not,Have,Do not,have not,would,,is,Yes,Nothing,20,,
,male,34,would,Nothing. Game over.,Proper diet,At times,Work,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,4,Optimistic,1,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Falling,Would,Have not,Do not,have not,would,is not,is,No,Nothing,,,
Lafayette Colorado United States,male,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draper Utah United States,male,31,would,Nothing. Game over.,Exercise,Never,Exercise,bad,Do not,2,did,Single,Computer,Obedient,Intelligence,Strict,More money,8,Optimistic,2,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do,Gun,Barack Obama,4,Naturally,Seldom,Seldom,Other,Would,Have,Do not,have,would not,is not,is,Yes,Nothing,0,,
London Greater London United Kingdom,male,38,would not,My spirit will return home,Exercise,Sometimes,Exercise,good,Do,2,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More free time,8,Optimistic,1,Both about equally,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would not,Have not,Do,have not,would,is,is,No,Nothing,26,,
,male,22,would not,Nothing. Game over.,Exercise,Constantly,Exercise,bad,,1,did not,Single,SmartPhone,Obedient,Intelligence,,,,Optimistic,1,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??? ??? ??,male,38,would,,Exercise,Sometimes,Family/Friends,good,Do,1,did not,Married,Computer,Obedient,Intelligence,Strict,Better health,1,Optimistic,1,Both about equally,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,6,Family member,Often,Seldom,Flying,Would,Have not,Do not,have not,would,is not,is,No,Nothing,38,,
,male,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,40,would,I will go to heaven or hell,Proper diet,At times,Prayer,bad,,0,did not,Married,Tablet,,Intelligence,,More money,11,Optimistic,,Dad,would,Oldest,Owner,,,,,,,,,,,,,,,,,,,,,,,,,
Pune,male,34,would not,Nothing. Game over.,Proper diet,Never,Family/Friends,bad,,4,did,Married,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Mom,would not,Oldest,Playmate,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood City California United States,male,34,would,My spirit will return home,Genes,At times,Alcohol/Drugs,good,Do,1,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More money,1,Optimistic,1,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is not,Yes,Looks,0,,
Managua Managua Nicaragua,male,27,would not,Nothing. Game over.,Environment,Sometimes,Family/Friends,good,Do not,2,did not,Single,Computer,Obedient,Intelligence,Strict,More money,14,Optimistic,0,Neither,would,I don't have any siblings,I don't have a pet,,Do not,More,Work,,Do,Other,Barack Obama,,Alarm clock,Seldom,Often,Being chased,Would not,Have not,Do not,have not,would not,is not,is,No,Nothing,,,
Bangalore Karnataka India,male,25,would,Nothing. Game over.,Environment,At times,Music/Art,bad,Do,4,did,Cohabitating,Computer,,Nothing,,More money,3,Optimistic,3,Both about equally,would,Middle,I don't have a pet,,Do,,Home,Safe,Do,Money,Barack Obama,9,Naturally,Seldom,Often,Being unprepared,Would,Have not,Do,have,would,is,is,No,Nothing,0,,
Rotterdam South Holland The Netherlands,male,33,would,Nothing. Game over.,Genes,Never,Exercise,good,Do,2,did,Cohabitating,Computer,Obedient,Immunity,Strict,More free time,2,Optimistic,2,Both about equally,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do,have not,would,is not,is,No,Nothing,0,,
Basking Ridge New Jersey United States,male,50,,,,,,,Do not,,,,,Obedient,Nothing,Strict,More money,12,Optimistic,2,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Work,Safe,Do not,Photo albums,Barack Obama,4,Alarm clock,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,All of the above,32,,
Rotorua Bay Of Plenty New Zealand,female,33,would not,Nothing. Game over.,Proper diet,At times,Music/Art,good,Do not,3,did,Cohabitating,Other people,Obedient,Immunity,Strict,Better romance,4,Optimistic,5,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Place of worship,Safe,Do,Other,Barack Obama,5,Family member,Often,Seldom,Other,Would,Have,,have not,would,is not,is,Yes,Intelligence,0,,
Draper Utah United States,male,42,would not,I will go to heaven or hell,Proper diet,Sometimes,Work,bad,,1,did not,Married,SmartPhone,Obedient,Nothing,Strict,Better health,0,Optimistic,2,Both about equally,would,Middle,I don't have a pet,,,,,,,,,,,,,,,,,,,,,,,,,
Overland Park Kansas United States,male,37,would not,Nothing. Game over.,Proper diet,Constantly,Music/Art,good,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,Better health,1,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is not,Yes,Looks,31,,
??,female,25,would,I will be reincarnated,Proper diet,Constantly,Music/Art,bad,Do,1,did,Single,SmartPhone,Obedient,Appearance,Strict,Better romance,9,Optimistic,1,Neither,would,Oldest,Playmate,Untrustworthy,Do,More,School,Safe,Do,Other,Barack Obama,5,Alarm clock,Often,Often,Other,Would not,Have not,Do,have not,would,is not,is not,Yes,Sexual ability,0,,
Rome New York United States,male,26,would,I will be reincarnated,Exercise,At times,Exercise,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,9,Optimistic,3,Mom,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would not,is not,is,Yes,Looks,0,,
,male,40,would not,I will go to heaven or hell,Proper diet,At times,Exercise,bad,Do,1,did,Divorced,Computer,Obedient,Intelligence,Strict,Better job,2,Optimistic,2,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Gun,Mitt Romney,7,Alarm clock,Never,Never,Other,Would not,Have not,Do not,have not,would,is not,is,No,Intelligence,22,,
Beavercreek Ohio United States,male,27,would not,I will go to heaven or hell,Genes,At times,Prayer,good,Do,1,did,Married,SmartPhone,Obedient,Intelligence,Strict,Nothing,5,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,7,Child/Children,Never,Often,Flying,Would not,Have,Do not,have,would not,is not,is,Yes,Nothing,22,,
,male,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??? ??? ??,male,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mairipor� S�o Paulo Rep�blica Federativa do Brasil,male,30,would,Nothing. Game over.,Environment,Sometimes,Music/Art,good,Do,3,did,Single,Computer,Obedient,Appearance,Strict,More money,2,Optimistic,3,Both about equally,would,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Jewelry,Barack Obama,7,Alarm clock,Seldom,Seldom,Flying,Would not,Have not,Do not,have not,would not,is not,is,Yes,Intelligence,0,,
Madrid,female,30,would,My spirit will return home,Proper diet,At times,Exercise,bad,Do,30,did,Cohabitating,SmartPhone,Obedient,Immunity,Strict,Better job,2,Optimistic,2,Dad,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would not,Have,Do,have,would,is not,is,No,Nothing,25,,
,male,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester Massachusetts United States,female,46,would,Nothing. Game over.,Genes,At times,Music/Art,good,Do,1,did not,Single,Computer,Obedient,Nothing,Strict,Better romance,7,Optimistic,1,Both about equally,would not,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,24,,
Aruba,male,23,would not,Nothing. Game over.,Proper diet,At times,Music/Art,good,Do,3,did,Single,Computer,Obedient,Appearance,Strict,Better romance,8,Optimistic,2,Mom,would not,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Being chased,Would,Have not,Do not,have not,would,is,is,Yes,Nothing,0,,
Hopkinton Massachusetts United States,male,37,would,Nothing. Game over.,Exercise,Constantly,Exercise,good,Do,1,did,Single,SmartPhone,Obedient,Nothing,Strict,Better romance,12,Optimistic,2,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Never,Often,Other,Would not,Have,Do not,have not,would,is not,is,No,Nothing,0,,
?? ??? ??,male,50,would,Nothing. Game over.,Environment,Constantly,Family/Friends,good,,2,did not,Married,SmartPhone,Obedient,Appearance,Strict,More money,0,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,,,,,,,,,,,,,,,,have,would,is,is,No,Looks,27,,
,male,53,would not,My spirit will return home,Environment,At times,Alcohol/Drugs,bad,Do,1,did not,Married,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
